GEO.id,GEO.id2,GEO.display-label,HD01_VD01,HD02_VD01
0500000US16055,16055,"Kootenai County, Idaho",0.437,0.035
0500000US16083,16083,"Twin Falls County, Idaho",0.427,0.036
0500000US17001,17001,"Adams County, Illinois",0.458,0.037
0500000US17019,17019,"Champaign County, Illinois",0.479,0.016
0500000US17031,17031,"Cook County, Illinois",0.490,0.005
0500000US17037,17037,"DeKalb County, Illinois",0.424,0.037
0500000US17043,17043,"DuPage County, Illinois",0.446,0.010
0500000US17089,17089,"Kane County, Illinois",0.429,0.013
0500000US17091,17091,"Kankakee County, Illinois",0.398,0.017
0500000US17093,17093,"Kendall County, Illinois",0.337,0.024
0500000US17097,17097,"Lake County, Illinois",0.466,0.013
0500000US17099,17099,"LaSalle County, Illinois",0.419,0.022
0500000US17111,17111,"McHenry County, Illinois",0.382,0.017
0500000US17113,17113,"McLean County, Illinois",0.412,0.020
0500000US17115,17115,"Macon County, Illinois",0.440,0.027
0500000US17119,17119,"Madison County, Illinois",0.419,0.018
0500000US17143,17143,"Peoria County, Illinois",0.496,0.028
0500000US17161,17161,"Rock Island County, Illinois",0.438,0.022
0500000US17163,17163,"St. Clair County, Illinois",0.440,0.015
0500000US17167,17167,"Sangamon County, Illinois",0.433,0.018
0500000US17179,17179,"Tazewell County, Illinois",0.384,0.018
0500000US17183,17183,"Vermilion County, Illinois",0.422,0.027
0500000US17197,17197,"Will County, Illinois",0.387,0.012
0500000US17201,17201,"Winnebago County, Illinois",0.441,0.022
0500000US18003,18003,"Allen County, Indiana",0.430,0.019
0500000US18005,18005,"Bartholomew County, Indiana",0.431,0.040
0500000US18019,18019,"Clark County, Indiana",0.391,0.021
0500000US18035,18035,"Delaware County, Indiana",0.460,0.033
0500000US18039,18039,"Elkhart County, Indiana",0.443,0.043
0500000US18043,18043,"Floyd County, Indiana",0.426,0.020
0500000US18053,18053,"Grant County, Indiana",0.415,0.031
0500000US18057,18057,"Hamilton County, Indiana",0.410,0.019
0500000US18059,18059,"Hancock County, Indiana",0.438,0.041
0500000US18063,18063,"Hendricks County, Indiana",0.374,0.022
0500000US18067,18067,"Howard County, Indiana",0.419,0.020
0500000US18081,18081,"Johnson County, Indiana",0.390,0.026
0500000US18085,18085,"Kosciusko County, Indiana",0.407,0.033
0500000US18089,18089,"Lake County, Indiana",0.427,0.011
0500000US18091,18091,"LaPorte County, Indiana",0.448,0.026
0500000US18095,18095,"Madison County, Indiana",0.422,0.030
0500000US18097,18097,"Marion County, Indiana",0.469,0.011
0500000US18105,18105,"Monroe County, Indiana",0.516,0.038
0500000US18109,18109,"Morgan County, Indiana",0.400,0.028
0500000US18127,18127,"Porter County, Indiana",0.410,0.024
0500000US18141,18141,"St. Joseph County, Indiana",0.451,0.016
0500000US18157,18157,"Tippecanoe County, Indiana",0.456,0.022
0500000US18163,18163,"Vanderburgh County, Indiana",0.459,0.022
0500000US18167,18167,"Vigo County, Indiana",0.455,0.031
0500000US18177,18177,"Wayne County, Indiana",0.447,0.056
0500000US19013,19013,"Black Hawk County, Iowa",0.420,0.022
0500000US19061,19061,"Dubuque County, Iowa",0.443,0.031
0500000US19103,19103,"Johnson County, Iowa",0.457,0.023
0500000US19113,19113,"Linn County, Iowa",0.430,0.019
0500000US19153,19153,"Polk County, Iowa",0.435,0.014
0500000US19155,19155,"Pottawattamie County, Iowa",0.404,0.021
0500000US19163,19163,"Scott County, Iowa",0.436,0.026
0500000US19169,19169,"Story County, Iowa",0.441,0.023
0500000US19193,19193,"Woodbury County, Iowa",0.409,0.026
0500000US20045,20045,"Douglas County, Kansas",0.460,0.025
0500000US20091,20091,"Johnson County, Kansas",0.424,0.014
0500000US20103,20103,"Leavenworth County, Kansas",0.359,0.023
0500000US20161,20161,"Riley County, Kansas",0.463,0.044
0500000US20173,20173,"Sedgwick County, Kansas",0.451,0.014
0500000US20177,20177,"Shawnee County, Kansas",0.426,0.020
0500000US20209,20209,"Wyandotte County, Kansas",0.441,0.039
0500000US21015,21015,"Boone County, Kentucky",0.366,0.019
0500000US21029,21029,"Bullitt County, Kentucky",0.360,0.027
0500000US21037,21037,"Campbell County, Kentucky",0.443,0.033
0500000US21047,21047,"Christian County, Kentucky",0.458,0.031
0500000US21059,21059,"Daviess County, Kentucky",0.463,0.030
0500000US21067,21067,"Fayette County, Kentucky",0.480,0.019
0500000US21093,21093,"Hardin County, Kentucky",0.376,0.022
0500000US21111,21111,"Jefferson County, Kentucky",0.465,0.011
0500000US21117,21117,"Kenton County, Kentucky",0.439,0.022
0500000US21145,21145,"McCracken County, Kentucky",0.494,0.036
0500000US21151,21151,"Madison County, Kentucky",0.456,0.044
0500000US21195,21195,"Pike County, Kentucky",0.497,0.037
0500000US21227,21227,"Warren County, Kentucky",0.441,0.021
0500000US22005,22005,"Ascension Parish, Louisiana",0.402,0.030
0500000US22015,22015,"Bossier Parish, Louisiana",0.413,0.032
0500000US22017,22017,"Caddo Parish, Louisiana",0.529,0.031
0500000US22019,22019,"Calcasieu Parish, Louisiana",0.467,0.024
0500000US22033,22033,"East Baton Rouge Parish, Louisiana",0.501,0.018
0500000US22045,22045,"Iberia Parish, Louisiana",0.439,0.029
0500000US22051,22051,"Jefferson Parish, Louisiana",0.463,0.017
0500000US22055,22055,"Lafayette Parish, Louisiana",0.481,0.028
0500000US22057,22057,"Lafourche Parish, Louisiana",0.454,0.037
0500000US22063,22063,"Livingston Parish, Louisiana",0.398,0.037
0500000US22071,22071,"Orleans Parish, Louisiana",0.545,0.017
0500000US22073,22073,"Ouachita Parish, Louisiana",0.508,0.037
0500000US22079,22079,"Rapides Parish, Louisiana",0.444,0.024
0500000US22097,22097,"St. Landry Parish, Louisiana",0.509,0.035
0500000US22103,22103,"St. Tammany Parish, Louisiana",0.446,0.020
0500000US22105,22105,"Tangipahoa Parish, Louisiana",0.456,0.028
0500000US22109,22109,"Terrebonne Parish, Louisiana",0.440,0.028
